Graph Size,Runtime (milliseconds)
972,4608.911195
973,4590.761711
974,4621.8621
975,4629.036398
976,4663.449916
977,4632.677667
978,4649.601856
979,4685.330651
980,4681.797444
981,4706.156387
982,4708.658439
983,4726.580344
984,4710.024355
985,4791.962974
986,4747.714608
987,4771.203016
988,4785.02439
989,4766.902376
990,4825.02613
991,4835.486266
992,4839.570232
993,4842.730545
994,4822.806646
995,4996.970072
996,4898.212108
997,4946.7585
998,4921.943504
999,4898.127597
1000,4975.623985
1001,4961.807623
1002,4977.401726
1003,4991.219201
1004,5000.101017
1005,4981.6849
1006,4991.321129
1007,5040.780974
1008,5034.172174
1009,5075.851854
1010,5048.563444
1011,5057.362373
1012,5070.97081
1013,5066.335094
1014,5077.042344
1015,5081.657936
1016,5108.709892
1017,5116.640623
1018,5115.342072
1019,5129.853279
1020,5182.96343
1021,5193.813534
1022,5163.98595
1023,5199.880167
1024,5168.886966
1025,5247.861629
1026,5260.511391
1027,5271.778759
1028,5223.879499
1029,5239.141386
1030,5278.551782
1031,5289.369374
1032,5294.275613
1033,5338.140208
1034,5338.841212
1035,5347.311805
1036,5376.670066
1037,5354.73364
1038,5453.521727
1039,5394.012604
1040,5402.081118
1041,5411.890613
1042,5444.320898
1043,5479.644812
1044,5533.446022
1045,5442.491707
1046,5521.510161
1047,5469.564564
1048,5491.487448
1049,5543.649046
1050,5517.333934
1051,5559.55756
1052,5544.728018
1053,5627.808047
1054,5620.183335
1055,5663.404333
1056,5584.032363
1057,5645.899727
1058,5607.852634
1059,5655.874373
1060,5648.151567
1061,5661.258133
1062,5714.475529
1063,5690.757032
1064,5712.619854
1065,5901.56615
1066,5814.542823
1067,5783.090832
1068,5819.08451
1069,5777.744497
1070,5769.837751
1071,5805.838121
1072,5858.777468
1073,5853.174198
1074,5869.545382
1075,5847.536035
1076,5886.326445
1077,5851.114707
1078,5919.09568
1079,5912.829355
1080,5905.737261
1081,5947.737736
1082,5957.696047
1083,5958.281558
1084,6000.543018
1085,6026.794974
1086,6050.904596
1087,6003.187313
1088,6046.784882
1089,6107.659658
1090,6107.437884
1091,6070.454212
1092,6096.606714
1093,6121.425029
1094,6155.487217
1095,6186.236307
1096,6171.987019
1097,6211.465702
1098,6221.696613
1099,6192.898772
1100,6211.351343
1101,6244.418703
1102,6239.320863
1103,6273.868385
1104,6283.204972
1105,6317.140139
1106,6341.511722
1107,6323.702746
1108,6377.89457
1109,6398.384398
1110,6410.567676
1111,6387.683921
1112,6440.136945
1113,6383.628745
1114,6441.075256
1115,6437.076235
1116,6461.928027
